1.0897,1.0906,1.0945,1.0881,-0.11
1.0909,1.0887,1.0947,1.087,0.19
1.0888,1.088,1.0906,1.0848,0.05
1.0883,1.0876,1.0903,1.0858,0.03
1.088,1.0882,1.0884,1.0873,-0.04
1.0884,1.0927,1.0933,1.0857,-0.42
1.093,1.0972,1.1041,1.0914,-0.4
1.0974,1.0979,1.1005,1.0953,-0.05
1.098,1.0998,1.1029,1.0967,-0.17
1.0999,1.0972,1.1011,1.0962,0.3
1.0966,1.0969,1.0974,1.0966,-0.05
1.0971,1.1054,1.1062,1.0966,-0.78
1.1057,1.1004,1.1058,1.0982,0.45
1.1008,1.1051,1.1072,1.1001,-0.42
1.1054,1.1135,1.1144,1.1046,-0.75
1.1138,1.1195,1.1202,1.1127,-0.51
1.1195,1.118,1.1204,1.118,-0.05
1.1201,1.1149,1.1207,1.1101,0.45
1.1151,1.1203,1.1214,1.1137,-0.48
1.1205,1.1202,1.1238,1.1187,0.01
1.1204,1.1208,1.124,1.1135,-0.06
1.1211,1.1233,1.1245,1.1203,-0.2
1.1233,1.1229,1.1244,1.1228,-0.07
1.1241,1.1222,1.1253,1.115,0.16
1.1223,1.1215,1.1251,1.1195,0.06
1.1216,1.1212,1.1238,1.1179,0.01
1.1215,1.1251,1.1262,1.1188,-0.35
1.1254,1.1221,1.1279,1.1219,0.14
1.1238,1.1229,1.1241,1.1224,0.11
1.1226,1.1205,1.1244,1.1191,0.17
1.1207,1.1192,1.1258,1.1181,0.16
1.1189,1.1148,1.12,1.1119,0.3
1.1155,1.1176,1.1216,1.1144,-0.17
1.1174,1.116,1.1198,1.1146,0.14
1.1158,1.1154,1.116,1.1153,0.03
1.1155,1.1242,1.1256,1.1145,-0.79
1.1244,1.1246,1.1286,1.1217,-0.05
1.125,1.1215,1.1274,1.1207,0.27
1.122,1.1233,1.1262,1.12,-0.12
1.1234,1.123,1.1269,1.1209,-0.05
1.124,1.1237,1.124,1.123,0.06
1.1233,1.1259,1.1288,1.1197,-0.25
1.1261,1.1237,1.1329,1.1231,0.2
1.1239,1.1253,1.1271,1.1226,-0.15
1.1256,1.1144,1.1266,1.1137,0.98
1.1147,1.1149,1.1185,1.1137,-0.11
1.1159,1.1159,1.1159,1.1153,0.03
1.1156,1.1194,1.1254,1.1148,-0.38
